[2016-05-16 13:30:42,278] [INFO] [DefaultHttpClientConnectionOperator.java:151] Connection established to static.mp3.zdn.vn/120.138.69.18:80
[2016-05-16 13:30:42,321] [INFO] [QOSBaoMoi.java:427] 200 - http://static.mp3.zdn.vn/skins/zmp3-v4.1/js/jquery-2.1.0.min.js
[2016-05-16 13:30:42,325] [INFO] [DefaultHttpClientConnectionOperator.java:142] Connecting to static.mp3.zdn.vn/120.138.69.18:80
[2016-05-16 13:30:42,328] [INFO] [DefaultHttpClientConnectionOperator.java:151] Connection established to static.mp3.zdn.vn/120.138.69.18:80
[2016-05-16 13:30:42,391] [INFO] [QOSBaoMoi.java:427] 200 - http://static.mp3.zdn.vn/skins/zmp3-v4.1/plugins/jquery.mousewheel.min.js
[2016-05-16 13:30:42,399] [INFO] [DefaultHttpClientConnectionOperator.java:142] Connecting to static.mp3.zdn.vn/120.138.69.18:80
[2016-05-16 13:30:42,402] [INFO] [DefaultHttpClientConnectionOperator.java:151] Connection established to static.mp3.zdn.vn/120.138.69.18:80
[2016-05-16 13:30:42,438] [INFO] [QOSBaoMoi.java:427] 200 - http://static.mp3.zdn.vn/skins/zmp3-v4.1/plugins/jquery.cookie.js
[2016-05-16 13:30:42,444] [INFO] [DefaultHttpClientConnectionOperator.java:142] Connecting to static.adtimaserver.vn/120.138.69.8:80
[2016-05-16 13:30:42,448] [INFO] [DefaultHttpClientConnectionOperator.java:151] Connection established to static.adtimaserver.vn/120.138.69.8:80
[2016-05-16 13:30:42,492] [INFO] [QOSBaoMoi.java:427] 200 - http://static.adtimaserver.vn/resource/js/adtima_ads_zingmp3.2.js
[2016-05-16 13:30:42,496] [INFO] [DefaultHttpClientConnectionOperator.java:142] Connecting to static.mp3.zdn.vn/120.138.69.18:80
[2016-05-16 13:30:42,499] [INFO] [DefaultHttpClientConnectionOperator.java:151] Connection established to static.mp3.zdn.vn/120.138.69.18:80
[2016-05-16 13:30:42,560] [INFO] [QOSBaoMoi.java:427] 200 - http://static.mp3.zdn.vn/skins/zmp3-v4.1/plugins/slider/slick.min.js
[2016-05-16 13:30:42,787] [INFO] [DefaultHttpClientConnectionOperator.java:142] Connecting to static.mp3.zdn.vn/120.138.69.18:80
[2016-05-16 13:30:42,789] [INFO] [DefaultHttpClientConnectionOperator.java:151] Connection established to static.mp3.zdn.vn/120.138.69.18:80
[2016-05-16 13:30:42,840] [INFO] [QOSBaoMoi.java:572] 200 - http://static.mp3.zdn.vn/skins/zmp3-v4.1/css/style-8.3.css
[2016-05-16 13:30:42,846] [INFO] [DefaultHttpClientConnectionOperator.java:142] Connecting to static.mp3.zdn.vn/120.138.69.18:80
[2016-05-16 13:30:42,848] [INFO] [DefaultHttpClientConnectionOperator.java:151] Connection established to static.mp3.zdn.vn/120.138.69.18:80
[2016-05-16 13:30:42,879] [INFO] [QOSBaoMoi.java:572] 200 - http://static.mp3.zdn.vn/skins/zmp3-v4.1/plugins/slider/slick.css
[2016-05-16 13:31:42,908] [INFO] [QOSBaoMoi.java:139] Submit stats at 1463380240, Mozilla/5.0
[2016-05-16 13:31:42,912] [INFO] [DefaultHttpClientConnectionOperator.java:142] Connecting to mp3.zing.vn/120.138.69.123:80
[2016-05-16 13:31:42,915] [INFO] [DefaultHttpClientConnectionOperator.java:151] Connection established to mp3.zing.vn/120.138.69.123:80
[2016-05-16 13:31:43,140] [INFO] [DefaultHttpClientConnectionOperator.java:142] Connecting to image.mp3.zdn.vn/115.84.183.84:80
[2016-05-16 13:31:43,144] [INFO] [DefaultHttpClientConnectionOperator.java:151] Connection established to image.mp3.zdn.vn/115.84.183.84:80
[2016-05-16 13:31:43,202] [INFO] [QOSBaoMoi.java:279] 200 - http://image.mp3.zdn.vn/banner/6/f/6f11f6fe75d14079372024fa30cb3e1b_1463021843.jpg
[2016-05-16 13:31:43,206] [INFO] [DefaultHttpClientConnectionOperator.java:142] Connecting to image.mp3.zdn.vn/115.84.183.84:80
[2016-05-16 13:31:43,209] [INFO] [DefaultHttpClientConnectionOperator.java:151] Connection established to image.mp3.zdn.vn/115.84.183.84:80
[2016-05-16 13:31:43,256] [INFO] [QOSBaoMoi.java:279] 200 - http://image.mp3.zdn.vn/banner/6/f/6f11f6fe75d14079372024fa30cb3e1b_1463021843.jpg
[2016-05-16 13:31:43,260] [INFO] [DefaultHttpClientConnectionOperator.java:142] Connecting to image.mp3.zdn.vn/115.84.183.84:80
[2016-05-16 13:31:43,264] [INFO] [DefaultHttpClientConnectionOperator.java:151] Connection established to image.mp3.zdn.vn/115.84.183.84:80
[2016-05-16 13:31:43,308] [INFO] [QOSBaoMoi.java:279] 200 - http://image.mp3.zdn.vn/banner/d/a/da89a1eb362977665f7e29b3195a81b9_1462934199.jpg
[2016-05-16 13:31:43,311] [INFO] [DefaultHttpClientConnectionOperator.java:142] Connecting to image.mp3.zdn.vn/115.84.183.84:80
[2016-05-16 13:31:43,315] [INFO] [DefaultHttpClientConnectionOperator.java:151] Connection established to image.mp3.zdn.vn/115.84.183.84:80
[2016-05-16 13:31:43,378] [INFO] [QOSBaoMoi.java:279] 200 - http://image.mp3.zdn.vn/banner/8/6/865a92fc260d6a4fcf8f88d08355f8c2_1462939451.jpg
[2016-05-16 13:31:43,382] [INFO] [DefaultHttpClientConnectionOperator.java:142] Connecting to image.mp3.zdn.vn/115.84.183.84:80
[2016-05-16 13:31:43,387] [INFO] [DefaultHttpClientConnectionOperator.java:151] Connection established to image.mp3.zdn.vn/115.84.183.84:80
[2016-05-16 13:31:43,446] [INFO] [QOSBaoMoi.java:279] 200 - http://image.mp3.zdn.vn/banner/e/5/e5dbbbdbfc3b3a4aaee18f0e36697e9b_1462848320.jpg
[2016-05-16 13:31:43,694] [INFO] [DefaultHttpClientConnectionOperator.java:142] Connecting to static.mp3.zdn.vn/120.138.69.18:80
[2016-05-16 13:31:43,698] [INFO] [DefaultHttpClientConnectionOperator.java:151] Connection established to static.mp3.zdn.vn/120.138.69.18:80
[2016-05-16 13:31:43,737] [INFO] [QOSBaoMoi.java:427] 200 - http://static.mp3.zdn.vn/skins/zmp3-v4.1/js/jquery-2.1.0.min.js
[2016-05-16 13:31:43,740] [INFO] [DefaultHttpClientConnectionOperator.java:142] Connecting to static.mp3.zdn.vn/120.138.69.18:80
[2016-05-16 13:31:43,743] [INFO] [DefaultHttpClientConnectionOperator.java:151] Connection established to static.mp3.zdn.vn/120.138.69.18:80
[2016-05-16 13:31:43,799] [INFO] [QOSBaoMoi.java:427] 200 - http://static.mp3.zdn.vn/skins/zmp3-v4.1/plugins/jquery.mousewheel.min.js
[2016-05-16 13:31:43,802] [INFO] [DefaultHttpClientConnectionOperator.java:142] Connecting to static.mp3.zdn.vn/120.138.69.18:80
[2016-05-16 13:31:43,804] [INFO] [DefaultHttpClientConnectionOperator.java:151] Connection established to static.mp3.zdn.vn/120.138.69.18:80
[2016-05-16 13:31:43,835] [INFO] [QOSBaoMoi.java:427] 200 - http://static.mp3.zdn.vn/skins/zmp3-v4.1/plugins/jquery.cookie.js
[2016-05-16 13:31:43,839] [INFO] [DefaultHttpClientConnectionOperator.java:142] Connecting to static.adtimaserver.vn/120.138.69.8:80
[2016-05-16 13:31:43,841] [INFO] [DefaultHttpClientConnectionOperator.java:151] Connection established to static.adtimaserver.vn/120.138.69.8:80
[2016-05-16 13:31:43,892] [INFO] [QOSBaoMoi.java:427] 200 - http://static.adtimaserver.vn/resource/js/adtima_ads_zingmp3.2.js
[2016-05-16 13:31:43,896] [INFO] [DefaultHttpClientConnectionOperator.java:142] Connecting to static.mp3.zdn.vn/120.138.69.18:80
[2016-05-16 13:31:43,898] [INFO] [DefaultHttpClientConnectionOperator.java:151] Connection established to static.mp3.zdn.vn/120.138.69.18:80
[2016-05-16 13:31:43,938] [INFO] [QOSBaoMoi.java:427] 200 - http://static.mp3.zdn.vn/skins/zmp3-v4.1/plugins/slider/slick.min.js
[2016-05-16 13:31:44,165] [INFO] [DefaultHttpClientConnectionOperator.java:142] Connecting to static.mp3.zdn.vn/120.138.69.18:80
[2016-05-16 13:31:44,168] [INFO] [DefaultHttpClientConnectionOperator.java:151] Connection established to static.mp3.zdn.vn/120.138.69.18:80
[2016-05-16 13:31:44,260] [INFO] [QOSBaoMoi.java:572] 200 - http://static.mp3.zdn.vn/skins/zmp3-v4.1/css/style-8.3.css
[2016-05-16 13:31:44,263] [INFO] [DefaultHttpClientConnectionOperator.java:142] Connecting to static.mp3.zdn.vn/120.138.69.18:80
[2016-05-16 13:31:44,266] [INFO] [DefaultHttpClientConnectionOperator.java:151] Connection established to static.mp3.zdn.vn/120.138.69.18:80
[2016-05-16 13:31:44,307] [INFO] [QOSBaoMoi.java:572] 200 - http://static.mp3.zdn.vn/skins/zmp3-v4.1/plugins/slider/slick.css
[2016-05-16 13:32:44,337] [INFO] [QOSBaoMoi.java:139] Submit stats at 1463380364, Mozilla/4.0
[2016-05-16 13:32:44,400] [INFO] [DefaultHttpClientConnectionOperator.java:142] Connecting to mp3.zing.vn/120.138.69.123:80
[2016-05-16 13:32:44,407] [INFO] [DefaultHttpClientConnectionOperator.java:151] Connection established to mp3.zing.vn/120.138.69.123:80
[2016-05-16 13:32:44,647] [INFO] [DefaultHttpClientConnectionOperator.java:142] Connecting to image.mp3.zdn.vn/115.84.183.84:80
[2016-05-16 13:32:44,657] [INFO] [DefaultHttpClientConnectionOperator.java:151] Connection established to image.mp3.zdn.vn/115.84.183.84:80
[2016-05-16 13:32:44,830] [INFO] [QOSBaoMoi.java:279] 200 - http://image.mp3.zdn.vn/banner/6/f/6f11f6fe75d14079372024fa30cb3e1b_1463021843.jpg
[2016-05-16 13:32:44,836] [INFO] [DefaultHttpClientConnectionOperator.java:142] Connecting to image.mp3.zdn.vn/115.84.183.84:80
[2016-05-16 13:32:44,843] [INFO] [DefaultHttpClientConnectionOperator.java:151] Connection established to image.mp3.zdn.vn/115.84.183.84:80
[2016-05-16 13:32:45,179] [INFO] [QOSBaoMoi.java:279] 200 - http://image.mp3.zdn.vn/banner/6/f/6f11f6fe75d14079372024fa30cb3e1b_1463021843.jpg
[2016-05-16 13:32:45,185] [INFO] [DefaultHttpClientConnectionOperator.java:142] Connecting to image.mp3.zdn.vn/115.84.183.84:80
[2016-05-16 13:32:45,189] [INFO] [DefaultHttpClientConnectionOperator.java:151] Connection established to image.mp3.zdn.vn/115.84.183.84:80
[2016-05-16 13:32:46,037] [INFO] [QOSBaoMoi.java:279] 200 - http://image.mp3.zdn.vn/banner/d/a/da89a1eb362977665f7e29b3195a81b9_1462934199.jpg
